year,week,cases
1922,10,-
1922,11,-
1922,12,-
1922,13,-
1922,14,-
1922,15,-
1922,16,-
1922,17,-
1922,18,-
1922,19,-
1922,20,-
1922,21,-
1922,22,-
1922,23,-
1922,24,-
1922,25,-
1922,26,-
1922,27,-
1922,28,-
1922,29,-
1922,30,-
1922,31,-
1922,32,-
1922,33,-
1922,34,-
1922,35,-
1922,36,-
1922,37,-
1922,38,-
1922,39,-
1922,40,-
1922,41,-
1922,42,-
1922,43,-
1922,44,-
1922,45,-
1922,46,-
1922,47,-
1922,48,-
1922,49,-
1922,50,-
1922,51,-
1922,52,-
1923,1,-
1923,2,-
1923,3,-
1923,4,-
1923,5,-
1923,6,-
1923,7,-
1923,8,-
1923,9,-
1923,10,-
1923,11,-
1923,12,-
1923,13,-
1923,14,-
1923,15,-
1923,16,-
1923,17,-
1923,18,-
1923,19,-
1923,20,-
1923,21,-
1923,22,-
1923,23,-
1923,24,-
1923,25,-
1923,26,-
1923,27,-
1923,28,-
1923,29,-
1923,30,-
1923,31,-
1923,32,-
1923,33,-
1923,34,-
1923,35,-
1923,36,-
1923,37,-
1923,38,-
1923,39,-
1923,40,-
1923,41,-
1923,42,-
1923,43,-
1923,44,-
1923,45,-
1923,46,-
1923,47,-
1923,48,-
1923,49,-
1923,50,-
1923,51,-
1923,52,-
1924,1,-
1924,2,-
1924,3,-
1924,4,-
1924,5,-
1924,6,-
1924,7,-
1924,8,-
1924,9,-
1924,10,-
1924,11,-
1924,12,-
1924,13,-
1924,14,-
1924,15,-
1924,16,-
1924,17,-
1924,18,-
1924,19,-
1924,20,-
1924,21,-
1924,22,-
1924,23,-
1924,24,-
1924,25,-
1924,26,-
1924,27,-
1924,28,-
1924,29,-
1924,30,-
1924,31,-
1924,32,-
1924,33,-
1924,34,-
1924,35,-
1924,36,-
1924,37,-
1924,38,-
1924,39,-
1924,40,-
1924,41,-
1924,42,-
1924,43,-
1924,44,-
1924,45,-
1924,46,-
1924,47,-
1924,48,-
1924,49,-
1924,50,-
1924,51,-
1924,52,-
1925,1,-
1925,2,-
1925,3,-
1925,4,-
1925,5,-
1925,6,-
1925,7,-
1925,8,-
1925,9,-
1925,10,-
1925,11,-
1925,12,-
1925,13,-
1925,14,-
1925,15,-
1925,16,-
1925,17,-
1925,18,-
1925,19,-
1925,20,-
1925,21,-
1925,22,-
1925,23,-
1925,24,-
1925,25,-
1925,26,-
1925,27,-
1925,28,-
1925,29,-
1925,30,-
1925,31,-
1925,32,-
1925,33,-
1925,34,-
1925,35,-
1925,36,-
1925,37,-
1925,38,-
1925,39,-
1925,40,-
1925,41,-
1925,42,-
1925,43,-
1925,44,-
1925,45,-
1925,46,-
1925,47,-
1925,48,-
1925,49,-
1925,50,-
1925,51,-
1925,52,-
1926,1,-
1926,2,-
1926,3,-
1926,4,-
1926,5,-
1926,6,-
1926,7,-
1926,8,-
1926,9,-
1926,10,-
1926,11,-
1926,12,-
1926,13,-
1926,14,-
1926,15,-
1926,16,-
1926,17,-
1926,18,-
1926,19,-
1926,20,-
1926,21,-
1926,22,-
1926,23,-
1926,24,-
1926,25,-
1926,26,-
1926,27,-
1926,28,-
1926,29,-
1926,30,-
1926,31,-
1926,32,-
1926,33,-
1926,34,-
1926,35,-
1926,36,-
1926,37,-
1926,38,-
1926,39,-
1926,40,-
1926,41,-
1926,42,-
1926,43,-
1926,44,-
1926,45,-
1926,46,-
1926,47,-
1926,48,-
1926,49,-
1926,50,-
1926,51,-
1926,52,-
1927,1,-
1927,2,-
1927,3,-
1927,4,-
1927,5,-
1927,6,-
1927,7,-
1927,8,-
1927,9,-
1927,10,-
1927,11,-
1927,12,-
1927,13,-
1927,14,-
1927,15,-
1927,16,-
1927,17,-
1927,18,-
1927,19,-
1927,20,-
1927,21,-
1927,22,-
1927,23,-
1927,24,-
1927,25,-
1927,26,-
1927,27,-
1927,28,-
1927,29,-
1927,30,-
1927,31,-
1927,32,-
1927,33,-
1927,34,-
1927,35,-
1927,36,-
1927,37,-
1927,38,-
1927,39,-
1927,40,-
1927,41,-
1927,42,-
1927,43,-
1927,44,-
1927,45,-
1927,46,-
1927,47,-
1927,48,-
1927,49,-
1927,50,-
1927,51,-
1927,52,-
1928,1,1
1928,2,1
1928,3,4
1928,4,-
1928,5,-
1928,6,3
1928,7,-
1928,8,2
1928,9,3
1928,10,-
1928,11,1
1928,12,1
1928,13,2
1928,14,2
1928,15,6
1928,16,5
1928,17,4
1928,18,14
1928,19,11
1928,20,10
1928,21,36
1928,22,34
1928,23,13
1928,24,5
1928,25,2
1928,26,4
1928,27,15
1928,28,38
1928,29,12
1928,30,2
1928,31,28
1928,32,1
1928,33,2
1928,34,5
1928,35,2
1928,36,1
1928,37,3
1928,38,1
1928,39,4
1928,40,11
1928,41,8
1928,42,14
1928,43,19
1928,44,10
1928,45,1
1928,46,49
1928,47,29
1928,48,83
1928,49,105
1928,50,72
1928,51,53
1928,52,25
1929,1,75
1929,2,72
1929,3,130
1929,4,139
1929,5,113
1929,6,214
1929,7,133
1929,8,116
1929,9,115
1929,10,149
1929,11,95
1929,12,130
1929,13,70
1929,14,110
1929,15,87
1929,16,66
1929,17,149
1929,18,375
1929,19,192
1929,20,81
1929,21,101
1929,22,35
1929,23,64
1929,24,30
1929,25,57
1929,26,15
1929,27,26
1929,28,-
1929,29,7
1929,30,14
1929,31,45
1929,32,33
1929,33,10
1929,34,34
1929,35,10
1929,36,1
1929,37,11
1929,38,5
1929,39,112
1929,40,81
1929,41,198
1929,42,114
1929,43,68
1929,44,147
1929,45,146
1929,46,55
1929,47,52
1929,48,56
1929,49,73
1929,50,22
1929,51,14
1929,52,38
1930,1,10
1930,2,29
1930,3,12
1930,4,32
1930,5,20
1930,6,18
1930,7,21
1930,8,25
1930,9,63
1930,10,31
1930,11,32
1930,12,33
1930,13,-
1930,14,4
1930,15,41
1930,16,5
1930,17,34
1930,18,3
1930,19,29
1930,20,10
1930,21,20
1930,22,10
1930,23,46
1930,24,25
1930,25,21
1930,26,3
1930,27,5
1930,28,2
1930,29,3
1930,30,7
1930,31,-
1930,32,4
1930,33,4
1930,34,1
1930,35,2
1930,36,6
1930,37,2
1930,38,1
1930,39,2
1930,40,-
1930,41,-
1930,42,1
1930,43,1
1930,44,3
1930,45,-
1930,46,1
1930,47,1
1930,48,5
1930,49,3
1930,50,-
1930,51,1
1930,52,1
1931,1,3
1931,2,3
1931,3,2
1931,4,4
1931,5,5
1931,6,1
1931,7,5
1931,8,1
1931,9,5
1931,10,1
1931,11,8
1931,12,7
1931,13,2
1931,14,72
1931,15,8
1931,16,7
1931,17,7
1931,18,14
1931,19,5
1931,20,13
1931,21,6
1931,22,37
1931,23,12
1931,24,8
1931,25,21
1931,26,3
1931,27,18
1931,28,10
1931,29,11
1931,30,22
1931,31,8
1931,32,6
1931,33,6
1931,34,13
1931,35,8
1931,36,6
1931,37,12
1931,38,3
1931,39,17
1931,40,10
1931,41,23
1931,42,25
1931,43,18
1931,44,71
1931,45,54
1931,46,60
1931,47,329
1931,48,126
1931,49,177
1931,50,104
1931,51,43
1931,52,98
1932,1,221
1932,2,117
1932,3,103
1932,4,80
1932,5,94
1932,6,30
1932,7,102
1932,8,56
1932,9,42
1932,10,81
1932,11,95
1932,12,113
1932,13,178
1932,14,138
1932,15,166
1932,16,73
1932,17,88
1932,18,100
1932,19,149
1932,20,117
1932,21,56
1932,22,43
1932,23,110
1932,24,166
1932,25,53
1932,26,38
1932,27,24
1932,28,6
1932,29,7
1932,30,56
1932,31,32
1932,32,15
1932,33,33
1932,34,106
1932,35,27
1932,36,29
1932,37,21
1932,38,45
1932,39,45
1932,40,93
1932,41,64
1932,42,208
1932,43,85
1932,44,79
1932,45,85
1932,46,153
1932,47,138
1932,48,371
1932,49,216
1932,50,449
1932,51,191
1932,52,256
1933,1,175
1933,2,194
1933,3,214
1933,4,152
1933,5,187
1933,6,149
1933,7,154
1933,8,105
1933,9,205
1933,10,94
1933,11,31
1933,12,57
1933,13,33
1933,14,44
1933,15,39
1933,16,42
1933,17,17
1933,18,38
1933,19,24
1933,20,56
1933,21,50
1933,22,28
1933,23,18
1933,24,20
1933,25,44
1933,26,38
1933,27,17
1933,28,2
1933,29,2
1933,30,8
1933,31,2
1933,32,2
1933,33,-
1933,34,1
1933,35,4
1933,36,1
1933,37,1
1933,38,2
1933,39,1
1933,40,1
1933,41,1
1933,42,4
1933,43,-
1933,44,3
1933,45,1
1933,46,-
1933,47,2
1933,48,-
1933,49,2
1933,50,2
1933,51,-
1933,52,3
1934,1,-
1934,2,4
1934,3,7
1934,4,11
1934,5,8
1934,6,27
1934,7,16
1934,8,32
1934,9,12
1934,10,57
1934,11,18
1934,12,62
1934,13,24
1934,14,46
1934,15,109
1934,16,40
1934,17,58
1934,18,108
1934,19,89
1934,20,97
1934,21,107
1934,22,25
1934,23,48
1934,24,37
1934,25,21
1934,26,4
1934,27,10
1934,28,13
1934,29,4
1934,30,11
1934,31,10
1934,32,14
1934,33,9
1934,34,8
1934,35,4
1934,36,12
1934,37,20
1934,38,1
1934,39,4
1934,40,49
1934,41,32
1934,42,47
1934,43,47
1934,44,106
1934,45,72
1934,46,36
1934,47,53
1934,48,18
1934,49,66
1934,50,81
1934,51,78
1934,52,68
1935,1,88
1935,2,108
1935,3,288
1935,4,56
1935,5,107
1935,6,223
1935,7,135
1935,8,237
1935,9,180
1935,10,111
1935,11,273
1935,12,309
1935,13,457
1935,14,601
1935,15,439
1935,16,609
1935,17,426
1935,18,445
1935,19,364
1935,20,592
1935,21,389
1935,22,282
1935,23,324
1935,24,202
1935,25,112
1935,26,85
1935,27,38
1935,28,35
1935,29,49
1935,30,15
1935,31,17
1935,32,8
1935,33,9
1935,34,4
1935,35,4
1935,36,3
1935,37,3
1935,38,8
1935,39,5
1935,40,14
1935,41,16
1935,42,27
1935,43,10
1935,44,-
1935,45,15
1935,46,22
1935,47,19
1935,48,16
1935,49,5
1935,50,15
1935,51,20
1935,52,5
1936,1,17
1936,2,9
1936,3,7
1936,4,54
1936,5,39
1936,6,20
1936,7,56
1936,8,30
1936,9,16
1936,10,18
1936,11,13
1936,12,13
1936,13,9
1936,14,15
1936,15,15
1936,16,6
1936,17,17
1936,18,17
1936,19,-
1936,20,5
1936,21,4
1936,22,8
1936,23,2
1936,24,14
1936,25,3
1936,26,4
1936,27,8
1936,28,2
1936,29,2
1936,30,5
1936,31,1
1936,32,1
1936,33,-
1936,34,-
1936,35,-
1936,36,-
1936,37,1
1936,38,1
1936,39,-
1936,40,2
1936,41,-
1936,42,1
1936,43,2
1936,44,1
1936,45,1
1936,46,4
1936,47,1
1936,48,4
1936,49,4
1936,50,-
1936,51,-
1936,52,-
1937,1,2
1937,2,1
1937,3,3
1937,4,4
1937,5,19
1937,6,7
1937,7,-
1937,8,2
1937,9,62
1937,10,46
1937,11,18
1937,12,60
1937,13,8
1937,14,39
1937,15,-
1937,16,19
1937,17,4
1937,18,27
1937,19,10
1937,20,29
1937,21,1
1937,22,3
1937,23,3
1937,24,5
1937,25,11
1937,26,4
1937,27,8
1937,28,8
1937,29,4
1937,30,10
1937,31,3
1937,32,3
1937,33,13
1937,34,3
1937,35,7
1937,36,2
1937,37,8
1937,38,3
1937,39,16
1937,40,10
1937,41,22
1937,42,2
1937,43,34
1937,44,13
1937,45,2
1937,46,23
1937,47,14
1937,48,10
1937,49,11
1937,50,1
1937,51,-
1937,52,2
1938,1,8
1938,2,1
1938,3,2
1938,4,6
1938,5,9
1938,6,5
1938,7,8
1938,8,30
1938,9,49
1938,10,80
1938,11,5
1938,12,73
1938,13,22
1938,14,20
1938,15,16
1938,16,23
1938,17,49
1938,18,35
1938,19,42
1938,20,62
1938,21,84
1938,22,90
1938,23,97
1938,24,56
1938,25,532
1938,26,4
1938,27,-
1938,28,23
1938,29,19
1938,30,14
1938,31,20
1938,32,13
1938,33,16
1938,34,290
1938,35,9
1938,36,9
1938,37,11
1938,38,48
1938,39,21
1938,40,32
1938,41,57
1938,42,50
1938,43,63
1938,44,1470
1938,45,140
1938,46,68
1938,47,95
1938,48,110
1938,49,124
1938,50,120
1938,51,1674
1938,52,281
1939,1,148
1939,2,207
1939,3,296
1939,4,3791
1939,5,579
1939,6,440
1939,7,366
1939,8,444
1939,9,363
1939,10,494
1939,11,304
1939,12,250
1939,13,166
1939,14,191
1939,15,235
1939,16,127
1939,17,111
1939,18,42
1939,19,334
1939,20,108
1939,21,232
1939,22,107
1939,23,154
1939,24,70
1939,25,72
1939,26,52
1939,27,45
1939,28,29
1939,29,42
1939,30,16
1939,31,12
1939,32,159
1939,33,37
1939,34,6
1939,35,11
1939,36,1
1939,37,5
1939,38,47
1939,39,15
1939,40,33
1939,41,-
1939,42,13
1939,43,71
1939,44,68
1939,45,8
1939,46,206
1939,47,16
1939,48,110
1939,49,128
1939,50,123
1939,51,14
1939,52,56
1940,1,15
1940,2,11
1940,3,12
1940,4,219
1940,5,321
1940,6,234
1940,7,202
1940,8,33
1940,9,22
1940,10,28
1940,11,168
1940,12,135
1940,13,101
1940,14,104
1940,15,129
1940,16,76
1940,17,107
1940,18,-
1940,19,57
1940,20,78
1940,21,81
1940,22,31
1940,23,86
1940,24,50
1940,25,61
1940,26,42
1940,27,38
1940,28,26
1940,29,25
1940,30,11
1940,31,15
1940,32,13
1940,33,-
1940,34,6
1940,35,10
1940,36,3
1940,37,3
1940,38,-
1940,39,16
1940,40,33
1940,41,17
1940,42,14
1940,43,7
1940,44,3
1940,45,1
1940,46,0
1940,47,4
1940,48,4
1940,49,6
1940,50,4
1940,51,-
1940,52,3
1941,1,2
1941,2,7
1941,3,5
1941,4,3
1941,5,4
1941,6,8
1941,7,6
1941,8,-
1941,9,9
1941,10,1
1941,11,5
1941,12,9
1941,13,44
1941,14,17
1941,15,49
1941,16,-
1941,17,30
1941,18,51
1941,19,35
1941,20,36
1941,21,72
1941,22,24
1941,23,40
1941,24,26
1941,25,9
1941,26,6
1941,27,7
1941,28,21
1941,29,6
1941,30,3
1941,31,0
1941,32,1
1941,33,-
1941,34,3
1941,35,3
1941,36,2
1941,37,3
1941,38,3
1941,39,14
1941,40,3
1941,41,11
1941,42,3
1941,43,-
1941,44,19
1941,45,15
1941,46,9
1941,47,26
1941,48,25
1941,49,52
1941,50,28
1941,51,80
1941,52,41
1942,1,52
1942,2,59
1942,3,54
1942,4,41
1942,5,168
1942,6,96
1942,7,168
1942,8,125
1942,9,-
1942,10,80
1942,11,87
1942,12,53
1942,13,150
1942,14,76
1942,15,106
1942,16,158
1942,17,158
1942,18,81
1942,19,207
1942,20,113
1942,21,85
1942,22,88
1942,23,148
1942,24,70
1942,25,74
1942,26,35
1942,27,44
1942,28,31
1942,29,14
1942,30,18
1942,31,19
1942,32,3
1942,33,11
1942,34,9
1942,35,6
1942,36,2
1942,37,0
1942,38,3
1942,39,1
1942,40,6
1942,41,-
1942,42,3
1942,43,14
1942,44,11
1942,45,4
1942,46,7
1942,47,13
1942,48,34
1942,49,95
1942,50,75
1942,51,26
1942,52,69
1943,1,38
1943,2,26
1943,3,54
1943,4,81
1943,5,163
1943,6,160
1943,7,248
1943,8,129
1943,9,162
1943,10,204
1943,11,343
1943,12,320
1943,13,262
1943,14,295
1943,15,152
1943,16,251
1943,17,197
1943,18,145
1943,19,134
1943,20,175
1943,21,202
1943,22,-
1943,23,110
1943,24,115
1943,25,98
1943,26,96
1943,27,69
1943,28,45
1943,29,-
1943,30,49
1943,31,28
1943,32,36
1943,33,21
1943,34,22
1943,35,24
1943,36,13
1943,37,-
1943,38,17
1943,39,51
1943,40,37
1943,41,52
1943,42,55
1943,43,70
1943,44,57
1943,45,78
1943,46,85
1943,47,-
1943,48,112
1943,49,103
1943,50,-
1943,51,126
1943,52,134
1944,1,-
1944,2,145
1944,3,297
1944,4,246
1944,5,218
1944,6,-
1944,7,253
1944,8,208
1944,9,186
1944,10,172
1944,11,105
1944,12,194
1944,13,262
1944,14,116
1944,15,124
1944,16,132
1944,17,-
1944,18,125
1944,19,126
1944,20,118
1944,21,74
1944,22,74
1944,23,43
1944,24,38
1944,25,-
1944,26,15
1944,27,8
1944,28,4
1944,29,3
1944,30,1
1944,31,2
1944,32,1
1944,33,11
1944,34,1
1944,35,0
1944,36,0
1944,37,2
1944,38,2
1944,39,1
1944,40,2
1944,41,2
1944,42,4
1944,43,2
1944,44,2
1944,45,2
1944,46,3
1944,47,49
1944,48,-
1944,49,3
1944,50,1
1944,51,1
1944,52,3
1945,1,2
1945,2,5
1945,3,150
1945,4,5
1945,5,4
1945,6,6
1945,7,8
1945,8,12
1945,9,6
1945,10,1
1945,11,17
1945,12,11
1945,13,136
1945,14,16
1945,15,17
1945,16,13
1945,17,14
1945,18,14
1945,19,19
1945,20,8
1945,21,45
1945,22,7
1945,23,7
1945,24,4
1945,25,5
1945,26,4
1945,27,3
1945,28,4
1945,29,-
1945,30,1
1945,31,2
1945,32,9
1945,33,3
1945,34,2
1945,35,24
1945,36,0
1945,37,6
1945,38,18
1945,39,63
1945,40,45
1945,41,9
1945,42,22
1945,43,17
1945,44,17
1945,45,30
1945,46,10
1945,47,-
1945,48,-
1945,49,6
1945,50,-
1945,51,8
1945,52,2
1946,1,2
1946,2,8
1946,3,8
1946,4,10
1946,5,15
1946,6,55
1946,7,57
1946,8,11
1946,9,11
1946,10,23
1946,11,23
1946,12,19
1946,13,45
1946,14,45
1946,15,70
1946,16,64
1946,17,48
1946,18,54
1946,19,85
1946,20,182
1946,21,55
1946,22,188
1946,23,153
1946,24,104
1946,25,93
1946,26,60
1946,27,61
1946,28,52
1946,29,22
1946,30,36
1946,31,10
1946,32,9
1946,33,32
1946,34,10
1946,35,14
1946,36,16
1946,37,13
1946,38,10
1946,39,3
1946,40,20
1946,41,1
1946,42,5
1946,43,20
1946,44,49
1946,45,18
1946,46,45
1946,47,12
1946,48,30
1946,49,25
1946,50,70
1946,51,48
1946,52,55
1947,1,-
1947,2,188
1947,3,135
1947,4,122
1947,5,230
1947,6,233
1947,7,256
1947,8,145
1947,9,188
1947,10,212
1947,11,147
1947,12,136
1947,13,137
1947,14,105
1947,15,162
1947,16,164
1947,17,96
1947,18,140
1947,19,99
1947,20,43
1947,21,92
1947,22,50
1947,23,76
1947,24,81
1947,25,91
1947,26,37
1947,27,50
1947,28,29
1947,29,31
1947,30,-
1947,31,24
1947,32,15
1947,33,10
1947,34,9
1947,35,5
1947,36,10
1947,37,6
1947,38,9
1947,39,16
1947,40,23
1947,41,21
1947,42,37
1947,43,65
1947,44,40
1947,45,54
1947,46,66
1947,47,91
1947,48,82
1947,49,195
1947,50,57
1947,51,113
1947,52,56
1948,1,87
1948,2,41
1948,3,97
1948,4,163
1948,5,120
1948,6,166
1948,7,110
1948,8,151
1948,9,-
1948,10,100
1948,11,62
1948,12,56
1948,13,39
1948,14,64
1948,15,28
1948,16,74
1948,17,14
1948,18,121
1948,19,82
1948,20,-
1948,21,41
1948,22,-
1948,23,32
1948,24,32
1948,25,19
1948,26,14
1948,27,8
1948,28,-
1948,29,-
1948,30,-
1948,31,19
1948,32,7
1948,33,-
1948,34,-
1948,35,-
1948,36,1
1948,37,1
1948,38,4
1948,39,4
1948,40,4
1948,41,9
1948,42,13
1948,43,12
1948,44,7
1948,45,3
1948,46,6
1948,47,6
1948,48,11
1948,49,6
1948,50,9
1948,51,9
1948,52,-
1949,1,13
1949,2,22
1949,3,33
1949,4,50
1949,5,91
1949,6,42
1949,7,60
1949,8,82
1949,9,34
1949,10,70
1949,11,62
1949,12,14
1949,13,135
1949,14,50
1949,15,49
1949,16,153
1949,17,183
1949,18,161
1949,19,297
1949,20,306
1949,21,362
1949,22,282
1949,23,201
1949,24,140
1949,25,105
1949,26,81
1949,27,41
1949,28,34
1949,29,17
1949,30,43
1949,31,7
1949,32,12
1949,33,18
1949,34,13
1949,35,2
1949,36,7
1949,37,4
1949,38,10
1949,39,22
1949,40,18
1949,41,34
1949,42,32
1949,43,34
1949,44,73
1949,45,45
1949,46,32
1949,47,56
1949,48,40
1949,49,92
1949,50,32
1949,51,29
1949,52,22
1950,1,-
1950,2,120
1950,3,67
1950,4,38
1950,5,77
1950,6,26
1950,7,34
1950,8,45
1950,9,124
1950,10,72
1950,11,89
1950,12,132
1950,13,104
1950,14,100
1950,15,86
1950,16,117
1950,17,122
1950,18,68
1950,19,-
1950,20,58
1950,21,56
1950,22,33
1950,23,28
1950,24,16
1950,25,34
1950,26,14
1950,27,-
1950,28,4
1950,29,9
1950,30,4
1950,31,1
1950,32,2
1950,33,4
1950,34,2
1950,35,2
1950,36,1
1950,37,3
1950,38,3
1950,39,13
1950,40,1
1950,41,3
1950,42,2
1950,43,4
1950,44,6
1950,45,7
1950,46,5
1950,47,2
1950,48,9
1950,49,21
1950,50,5
1950,51,7
1950,52,-
1951,1,7
1951,2,14
1951,3,11
1951,4,16
1951,5,19
1951,6,31
1951,7,38
1951,8,54
1951,9,80
1951,10,47
1951,11,64
1951,12,301
1951,13,72
1951,14,43
1951,15,38
1951,16,36
1951,17,45
1951,18,27
1951,19,72
1951,20,79
1951,21,81
1951,22,96
1951,23,69
1951,24,71
1951,25,94
1951,26,118
1951,27,53
1951,28,68
1951,29,51
1951,30,64
1951,31,41
1951,32,27
1951,33,19
1951,34,16
1951,35,10
1951,36,9
1951,37,22
1951,38,32
1951,39,6
1951,40,83
1951,41,80
1951,42,21
1951,43,35
1951,44,31
1951,45,24
1951,46,45
1951,47,47
1951,48,35
1951,49,41
1951,50,-
1951,51,-
1951,52,-
1952,1,82
1952,2,81
1952,3,144
1952,4,163
1952,5,53
1952,6,61
1952,7,111
1952,8,78
1952,9,-
1952,10,146
1952,11,65
1952,12,113
1952,13,119
1952,14,61
1952,15,74
1952,16,124
1952,17,298
1952,18,-
1952,19,63
1952,20,470
1952,21,353
1952,22,114
1952,23,-
1952,24,64
1952,25,77
1952,26,49
1952,27,40
1952,28,57
1952,29,59
1952,30,38
1952,31,22
1952,32,26
1952,33,19
1952,34,20
1952,35,30
1952,36,7
1952,37,34
1952,38,21
1952,39,17
1952,40,3
1952,41,63
1952,42,20
1952,43,24
1952,44,50
1952,45,26
1952,46,45
1952,47,48
1952,48,30
1952,49,64
1952,50,61
1952,51,30
1952,52,64
1953,1,3
1953,2,73
1953,3,61
1953,4,28
1953,5,231
1953,6,148
1953,7,142
1953,8,105
1953,9,79
1953,10,93
1953,11,68
1953,12,86
1953,13,106
1953,14,107
1953,15,65
1953,16,81
1953,17,96
1953,18,32
1953,19,226
1953,20,92
1953,21,91
1953,22,31
1953,23,56
1953,24,69
1953,25,45
1953,26,73
1953,27,17
1953,28,10
1953,29,5
1953,30,10
1953,31,10
1953,32,10
1953,33,3
1953,34,7
1953,35,6
1953,36,2
1953,37,4
1953,38,8
1953,39,8
1953,40,12
1953,41,109
1953,42,88
1953,43,49
1953,44,13
1953,45,68
1953,46,16
1953,47,-
1953,48,178
1953,49,121
1953,50,72
1953,51,-
1953,52,-
1954,1,224
1954,2,104
1954,3,97
1954,4,56
1954,5,150
1954,6,99
1954,7,166
1954,8,129
1954,9,84
1954,10,63
1954,11,117
1954,12,87
1954,13,137
1954,14,71
1954,15,53
1954,16,98
1954,17,61
1954,18,297
1954,19,280
1954,20,418
1954,21,250
